Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,EXP
Jigglypuff,Normal,Fairy,115,45,20,45,25,20,95
Wigglytuff,Normal,Fairy,140,70,45,85,50,45,218
Zubat,Poison,Flying,40,45,35,30,40,55,49
Golbat,Poison,Flying,75,80,70,65,75,90,159
Oddish,Grass,Poison,45,50,55,75,65,30,64
Gloom,Grass,Poison,60,65,70,85,75,40,138
Vileplume,Grass,Poison,75,80,85,110,90,50,245
Paras,Bug,Grass,35,70,55,45,55,25,57
Parasect,Bug,Grass,60,95,80,60,80,30,142
Venonat,Bug,Poison,60,55,50,40,55,45,61
Venomoth,Bug,Poison,70,65,60,90,75,90,158
Diglett,Ground,,10,55,25,35,45,95,53
Dugtrio,Ground,,35,80,50,50,70,120,149
Meowth,Normal,,40,45,35,40,40,90,58
Persian,Normal,,65,70,60,65,65,115,154
Psyduck,Water,,50,52,48,65,50,55,64
Golduck,Water,,80,82,78,95,80,85,175
Mankey,Fighting,,40,80,35,35,45,70,61
Primeape,Fighting,,65,105,60,60,70,95,159
Growlithe,Fire,,55,70,45,70,50,60,70
Arcanine,Fire,,90,110,80,100,80,95,194
Poliwag,Water,,40,50,40,40,40,90,60
Poliwhirl,Water,,65,65,65,50,50,90,135
Poliwrath,Water,Fighting,90,95,95,70,90,70,255
Abra,Psychic,,25,20,15,105,55,90,62
Kadabra,Psychic,,40,35,30,120,70,105,140
Alakazam,Psychic,,55,50,45,135,95,120,250
Machop,Fighting,,70,80,50,35,35,35,61
Machoke,Fighting,,80,100,70,50,60,45,142
Machamp,Fighting,,90,130,80,65,85,55,253
Bellsprout,Grass,Poison,50,75,35,70,30,40,60
Weepinbell,Grass,Poison,65,90,50,85,45,55,137
Victreebel,Grass,Poison,80,105,65,100,70,70,245
Tentacool,Water,Poison,40,40,35,50,100,70,67
Tentacruel,Water,Poison,80,70,65,80,120,100,180
Geodude,Rock,Ground,40,80,100,30,30,20,60
Graveler,Rock,Ground,55,95,115,45,45,35,137
Golem,Rock,Ground,80,120,130,55,65,45,248
Ponyta,Fire,,50,85,55,65,65,90,82
Rapidash,Fire,,65,100,70,80,80,105,175
Slowpoke,Water,Psychic,90,65,65,40,40,15,63
Slowbro,Water,Psychic,95,75,110,100,80,30,172
Magnemite,Electric,Steel,25,35,70,95,55,45,65
Magneton,Electric,Steel,50,60,95,120,70,70,163
Farfetch'd,Normal,Flying,52,65,55,58,62,60,132
Doduo,Normal,Flying,35,85,45,35,35,75,62
Dodrio,Normal,Flying,60,110,70,60,60,100,165
Seel,Water,,65,45,55,45,70,45,65
Dewgong,Water,Ice,90,70,80,70,95,70,166
Grimer,Poison,,80,80,50,40,50,25,65
Muk,Poison,,105,105,75,65,100,50,175
Shellder,Water,,30,65,100,45,25,40,61
Cloyster,Water,Ice,50,95,180,85,45,70,184
Gastly,Ghost,Poison,30,35,30,100,35,80,62
Haunter,Ghost,Poison,45,50,45,115,55,95,142
Gengar,Ghost,Poison,60,65,60,130,75,110,250
Onix,Rock,Ground,35,45,160,30,45,70,77
Drowzee,Psychic,,60,48,45,43,90,42,66
Hypno,Psychic,,85,73,70,73,115,67,169
Krabby,Water,,30,105,90,25,25,50,65
Kingler,Water,,55,130,115,50,50,75,166
Voltorb,Electric,,40,30,50,55,55,100,66
Electrode,Electric,,60,50,70,80,80,140,172
Exeggcute,Grass,Psychic,60,40,80,60,45,40,65
Exeggutor,Grass,Psychic,95,95,85,125,65,55,186
Cubone,Ground,,50,50,95,40,50,35,64
Marowak,Ground,,60,80,110,50,80,45,149
Hitmonlee,Fighting,,50,120,53,35,110,87,159
Hitmonchan,Fighting,,50,105,79,35,110,76,159
Lickitung,Normal,,90,55,75,60,75,30,77
Koffing,Poison,,40,65,95,60,45,35,68
Weezing,Poison,,65,90,120,85,70,60,172
Rhyhorn,Ground,Rock,80,85,95,30,30,25,69
Rhydon,Ground,Rock,105,130,120,45,45,40,170
Chansey,Normal,,250,5,5,35,105,50,395
Tangela,Grass,,65,55,115,100,40,60,87
Kangaskhan,Normal,,105,95,80,40,80,90,172
Horsea,Water,,30,40,70,70,25,60,59
Seadra,Water,,55,65,95,95,45,85,154
Goldeen,Water,,45,67,60,35,50,63,64
Seaking,Water,,80,92,65,65,80,68,158
Staryu,Water,,30,45,55,70,55,85,68
Starmie,Water,Psychic,60,75,85,100,85,115,182
Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,161
Scyther,Bug,Flying,70,110,80,55,80,105,100
Jynx,Ice,Psychic,65,50,35,115,95,95,159
Electabuzz,Electric,,65,83,57,95,85,105,172
Magmar,Fire,,65,95,57,100,85,93,173
Pinsir,Bug,,65,125,100,55,70,85,175
Tauros,Normal,,75,100,95,40,70,110,172
Magikarp,Water,,20,10,55,15,20,80,40
Gyarados,Water,Flying,95,125,79,60,100,81,189
Lapras,Water,Ice,130,85,80,85,95,60,187
Ditto,Normal,,48,48,48,48,48,48,101
Eevee,Normal,,55,55,50,45,65,55,65
Vaporeon,Water,,130,65,60,110,95,65,184
Jolteon,Electric,,65,65,60,110,95,130,184
Flareon,Fire,,65,130,60,95,110,65,184
Porygon,Normal,,65,60,70,85,75,40,79
Omanyte,Rock,Water,35,40,100,90,55,35,71
Omastar,Rock,Water,70,60,125,115,70,55,173
Kabuto,Rock,Water,30,80,90,55,45,55,71
Kabutops,Rock,Water,60,115,105,65,70,80,173
Aerodactyl,Rock,Flying,80,105,65,60,75,130,180
Snorlax,Normal,,160,110,65,65,110,30,189
Articuno,Ice,Flying,90,85,100,95,125,85,290
Zapdos,Electric,Flying,90,90,85,125,90,100,290
Moltres,Fire,Flying,90,100,90,125,85,90,290
Dratini,Dragon,,41,64,45,50,50,50,60
Dragonair,Dragon,,61,84,65,70,70,70,147
Dragonite,Dragon,Flying,91,134,95,100,100,80,300
Mewtwo,Psychic,,106,110,90,154,90,130,340
Mew,Psychic,,100,100,100,100,100,100,300
Rowlet,Grass,Flying,68,55,55,50,50,42,64
Dartrix,Grass,Flying,78,75,75,70,70,52,147
Alolan Decidueye,Grass,Ghost,78,107,75,100,100,70,265
Hisuian Decidueye,Grass,Fighting,88,112,80,95,95,60,265
